Feature ID	Taxon	Confidence
1ef1db9b2a4605bba32590e99f943668	d__Eukaryota	0.943179076
d33b0289567b6bdbe97fb8ebb9e987bf	Unassigned	0.313921979
641e0b7e3fc8d58832e2504bd4c0308f	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__[Eubacterium]_eligens_group	0.997526231
cff467d9f8adb1f0b580f2f50696b694	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Subdoligranulum	0.999864569
fd9967c06f687796995e8bd7cfc7fbbb	Unassigned	0.918479452
afff86946b6158661661576be3b6df77	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Barnesiellaceae; g__Barnesiella	0.999999955
70bc80c7f049e13da3b7ac4aa6eb4547	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__Sutterella; s__gut_metagenome	0.825214315
e3e1d62440f939181c9896f372a8955d	Unassigned	0.949373897
1f27363e47ef382f3c5a5a71dab1b519	Unassigned	0.79961339
f184c9b39ec31e44cfc7294d494ef5de	Unassigned	0.960102998
028f9596e974ee47b735ba8ee8a328f3	d__Eukaryota	0.922458684
33a6b84f72d1998886a5fdae0b0b43bf	Unassigned	0.807490422
c1b74b9cbdfebf22bc293977713efb7f	d__Eukaryota	0.956145115
ca07e3a036eef513fd2c6028837d5b5b	d__Eukaryota	0.937813692
3f698e5fcf89b15ab9d457df604da0f3	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia	0.973548084
32604a92c0df2a7bf4a6e6a109e6fa4a	Unassigned	0.754273208
8d4119d77c5d7ad9c58bb85636d0c412	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Subdoligranulum; s__uncultured_bacterium	0.723204927
d5ff6236991611893c23e9ccf45f6156	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__NK4A214_group	0.9820263
242654bde7f66796199f59586be69f90	Unassigned	0.814266392
2e5b0509e19f5abbfa49c955e441e93c	Unassigned	0.782159889
aaf264637d239a4c71a5766492a048ce	Unassigned	0.557290863
09566d1ab7c9d5a5e3e36c7963f6ea0c	d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcaceae; g__Romboutsia	0.931976578
c1c17a133e5d3d4e01aa8392a1d5f144	Unassigned	0.840229931
cc9aac9825879d8e7d94efc5f4cc9a30	d__Eukaryota	0.918904425
1f9f429e43e123e8566c645bbf36584d	Unassigned	0.960106039
288bdf5c3bde2e5df7c65afaa2dfec75	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__UCG-002; s__uncultured_organism	0.871764298
17bcf2746803d36228d47386c5e02bc3	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__uncultured; g__uncultured; s__gut_metagenome	0.999458531
9b8cab43cda20d60202b3b2091770dea	Unassigned	0.725510378
efa4b1172ad41c3021e15c991157adb7	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__UCG-002	0.999191115
92f8bf9146c018df09f16871d6b2fe1a	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia	0.98532257
247a4db1d3fbc498c959a8a524e40dbb	Unassigned	0.884038508
c7d7bd314bd22640f7969bbe37d22122	d__Bacteria; p__Firmicutes; c__Clostridia; o__Monoglobales; f__Monoglobaceae; g__Monoglobus	0.999998379
85aef28799e2e7b171b9d609387ee650	Unassigned	0.951781179
101a5a6b33cd5557a52ba562bd4ccbd1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__Oscillibacter	0.999598224
f8ccb887dd5a490b9c950839128e9320	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__[Eubacterium]_hallii_group	0.999980245
884df8826417b90fffe9138b35873400	Unassigned	0.957442588
b2b52a079d35fb010613141ff0b0597f	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.999999993
0bb983a2000b87e148b44f8ac6fd254f	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__[Eubacterium]_coprostanoligenes_group; g__[Eubacterium]_coprostanoligenes_group; s__gut_metagenome	0.793361601
93f45ea9daf10ba924f3a94ad8b8754a	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Anaerostipes	0.999830136
149712ab5e92bd78454f6cec4ad7706b	Unassigned	0.93646132
8cf02f99d61bbb5cbd895a77dc833356	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.999999993
3dad9493de2e1f9eee172da412ad8492	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	0.808234456
f1ea46bab302153aff557d08e2c3d27c	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinifilaceae; g__Odoribacter; s__Odoribacter_splanchnicus	0.963757168
275c4783e4fa54cbd9ac914e1e0ac8c6	Unassigned	0.540189724
204fe8d199779def50d3c5087ff05dcc	Unassigned	0.93454017
4fe3a6c2d07439bd60bf5de72f885630	Unassigned	0.918794178
0c768981fc04cee857a1fbf3d5021ef5	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_UCG-004	0.84456069
a6de5c1a47b4bb9b794a29d8b7240cdc	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_Barnesiella	0.879145466
